PARAMETER;INFO;URL;;
Specimen Thickness (mm);3;;;
Specimen Width (mm);6;;;
Specimen Length (mm);33;;;
Specimen Cross-section (cm^2);0.18;;;
Standard;ASTM D412;;;
Type of test;Pull-to-failure;;;
Speed (mm/min);450;;;
Machine;Instron  5569;;;
Load Cell;1 kN - Instron  2525-806;;;
Grippers;Instron 2710-010 ;;;
Strain Measurement;Global;;;
Strain calculation;Derived from the machine crosshead displacement readings;;;
Lab;Univ. Savoie Mont Blanc - SYMME Lab, 7400 Annecy, France;;;
Material supplier;Momentive;https://www.momentive.com/en-us//products/tds/rtv615?productId=64616a84-08ff-4372-a2a2-a58eb45be627;;
Material;RTV615;;;
;;;;
Time (s);True Strain;True Stress (MPa);Engineering Strain;Engineering Stress (MPa)
0.2;0.0537725314498;0.053353081556503;0.0537725314498;0.053353081556503
0.3;0.0684918239713;0.0662800283812425;0.0684918239713;0.0662800283812425
0.4;0.0835245773196;0.0799977025404032;0.0835245773196;0.0799977025404032
0.5;0.0987039357424;0.0933417765994486;0.0987039357424;0.0933417765994486
0.6;0.113536298275;0.105749738341725;0.113536298275;0.105749738341725
0.7;0.128529593349;0.119247044343111;0.128529593349;0.119247044343111
0.8;0.143717363477;0.131991473704521;0.143717363477;0.131991473704521
0.9;0.158557206392;0.145258770177522;0.158557206392;0.145258770177522
1;0.174003303051;0.158552776044066;0.174003303051;0.158552776044066
01.янв;0.189273297787;0.171352237721749;0.189273297787;0.171352237721749
01.фев;0.204452142119;0.185109667717618;0.204452142119;0.185109667717618
01.мар;0.219601601362;0.197961791808977;0.219601601362;0.197961791808977
01.апр;0.234927967191;0.212595898862228;0.234927967191;0.212595898862228
01.май;0.250004738569;0.226407256731629;0.250004738569;0.226407256731629
01.июн;0.264528751373;0.240592225870264;0.264528751373;0.240592225870264
01.июл;0.280054062605;0.255219472801545;0.280054062605;0.255219472801545
01.авг;0.295095026493;0.270657047736968;0.295095026493;0.270657047736968
01.сен;0.310311943293;0.284480852791123;0.310311943293;0.284480852791123
2;0.325490474701;0.300510393219075;0.325490474701;0.300510393219075
02.янв;0.340594679117;0.31423733408609;0.340594679117;0.31423733408609
02.фев;0.355562627316;0.330392365199877;0.355562627316;0.330392365199877
02.мар;0.370365202427;0.347899521808258;0.370365202427;0.347899521808258
02.апр;0.384890645742;0.364246338207484;0.384890645742;0.364246338207484
02.май;0.3993011415;0.381610732457304;0.3993011415;0.381610732457304
02.июн;0.413862109184;0.397245373084961;0.413862109184;0.397245373084961
02.июл;0.428661555052;0.414072309628908;0.428661555052;0.414072309628908
02.авг;0.442841142416;0.433208323419902;0.442841142416;0.433208323419902
02.сен;0.457569569349;0.450903929805216;0.457569569349;0.450903929805216
3;0.471622496843;0.46933473544868;0.471622496843;0.46933473544868
03.янв;0.485926568508;0.48961597166696;0.485926568508;0.48961597166696
03.фев;0.500450074673;0.509132641382849;0.500450074673;0.509132641382849
03.мар;0.514425098896;0.530652494576851;0.514425098896;0.530652494576851
03.апр;0.528719604015;0.552853946250588;0.528719604015;0.552853946250588
03.май;0.542603313923;0.572651615147937;0.542603313923;0.572651615147937
03.июн;0.556864202023;0.595205052166469;0.556864202023;0.595205052166469
03.июл;0.571565628052;0.61840516257407;0.571565628052;0.61840516257407
03.авг;0.585167109966;0.637993038305443;0.585167109966;0.637993038305443
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
